職人さんとのふれあい広場※,美術博物館駐車場,300,34.768524,137.395299,体験,"●大工さんとのふれあい丸太切り体験、カンナ削り体験、ネームポード•本立て・ベンチ作製
●左官職人さんとのふれあいどろだんこ作成、壁塗り体験、型抜き体験
◎材料費/300～800円",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d916794d36ff.jpg
親子ものづくり体験教室PartXIV※,美術博物館駐車場,500,34.768524,137.395299,体験,"●親子でものづくりに挑戦！！
●第10回東三河職業訓練展の案内
●豊橋高等技術専門校訓練生の募集
◎材料費/500円",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9164ab76a3f.jpg
子ども造形パラダイス※／伸びゆく子どもたちの作品展※,美術博物館西側,0,34.768871,137.394356,見る,市内小中学校特別支援学級、特別支援学校の児童生徒の作品を展示します。また、市内中学校特別支援学級および障害福祉施設の製品の販売も行います。,2019-10-19 9:00:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c3861524a.png
ハトマークの不動産ふれあい広場,児菫遊園地西側,0,34.768773,137.395921,広場,"●不動産無料相談会
●宅建協会関連グッズの無料配布",2019-10-19 10:00:00,2019-10-19 15:30:00,https://toyohashimatsuri.jp/uploadimg/t_5d9165acb5293.jpg
わいわい消防広場※,市庁舎前広場,0,34.769015,137.391515,体験,"●消防作品表彰式(19日午前）
●消防音楽隊とホワイトシ ガルズ演奏・演技（20日13:00）
●ポウサイマンZショー(20日13:30)
●防火キーホルダー作成コーナー
●応急手当普及啓発コーナー
●起震車乗車体験コーナー
●住宅用火災報知器等展示コーナー",2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915aedc343f.jpg
親子三世代で楽しもう！「つくる•あそぶコーナー」※,市庁舎,0,34.76912,137.391096,体験,いろいろな形の木切れを組み合わせて 作品を作ります。また、毎年恒例の「造パラ帽子」の作成コーナーもあります。参加費は無料です。親子で楽しみながら「つくって」「あそんで」ください。,2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c3741e2dd.png
三遠南信中学生交流「ふるさとスケッチ交流展」※,市庁舎,0,34.76912,137.391096,見る,交流会に参加した豊橋・浜松・飯田市の中学生が「私のふるさと自慢」をテーマに、自由にスケッチを描きました。それぞれの「ふるさと」を味わいながら、ご覧ください。,2019-10-19 10:00:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c37c818eb.png
明るい暮らしの消費者展※／マイナンバーカードを作ろう,市庁舎,0,34.76912,137.391096,見る,_,2019-10-19 10:00:00,2019-10-19 16:00:00,http://www.city.toyohashi.lg.jp/Images/logo.png
60周年記念豊橋まつりクイーン衣装展※,市庁舎,0,34.76912,137.391096,見る,_,2019-10-19 10:00:00,2019-10-19 16:00:00,http://www.city.toyohashi.lg.jp/Images/logo.png
全国お国自慢民謡おどり大会・まつり伝統芸能競演,公会堂,0,34.768098,137.392223,見る,"第1部 全国お国自慢民謡おどり大会
第2部 まつり伝統芸能競演",2019-10-19 13:00:00,2019-10-19 15:20:00,https://toyohashimatsuri.jp/uploadimg/t_5d915fa585220.jpg
甲冑を着てパシャ！記念撮影とビンゴ大会※,吉田城鉄櫓（豊橋公園内）,0,34.770156,137.39313,体験,"吉田城鉄櫓の前でお子様用甲冑を着て写真が撮れます。ピンゴ大会では、ピンゴになった方に景品を差し上げます！（人数制限）
◎甲冑記念撮影：10:30～15:00 ※ピンゴ大会開催時を除く
◎ビンゴ大会：10:00～10:30/ 13:00～13:30",2019-10-19 10:00:00,2019-10-19 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91596255fe7.jpg
東京2020オリンピック・パラリンピック競技体験イベント※,陸上競技場,0,34.769047,137.398986,体験,東京2020大会の競技を体験しよう！,2019-10-19 9:30:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/images/top/pickup1png.png
ええじゃないか舞踊三昧 競舞部門・演舞部門,萱町通り・広小路通り・松葉公園,0,34.765812,137.385625,見る,ええじゃないか舞踊三昧で今日を思いっきり楽しんで明日につなげていこう！,2019-10-19 10:50:00,2019-10-19 16:00:00,https://toyohashimatsuri.jp/images/butou/butou.jpg
東京2020オリンピック・パラリンピック競技体験イベント※,こども未来館ここにこ,0,34.768169,137.383284,体験,東京2020大会の競技を体験しよう！,2019-10-19 9:30:00,2019-10-19 17:00:00,https://toyohashimatsuri.jp/images/top/pickup1png.png
まち歩きええじゃないかスタンプラリー ※,まちなかエリア一帯,0,34.767173,137.385395,体験,スタンプ集めてええじゃないか！景品貰えてええじゃないか！,2019-10-19 10:00:00,2019-10-19 15:00:00,https://toyohashimatsuri.jp/images/machijyu/machiaruki.jpg
「お祭り頻」でええじゃないか木札ゲット！！※,まちなかエリア一帯,0,34.767173,137.385395,体験,"「お祭り顔」をして木札がもらえてええじゃないか！

街中のどこかにいる「ええじゃないか行脚隊」に 「お祭り顔」で「ええじゃないか！！」と言ってみよう。 豊橋まつり限定の木札がもらえるよ。 「ふるまいMAP」のイラスト周辺に “ええじゃないか行脚隊” がいるから 探してみよう！",2019-10-19 10:00:00,2019-10-19 15:00:00,https://toyohashimatsuri.jp/images/machijyu/kifuda.jpg
ええじゃないか！？盟橋ぽぷかる 2019,穂の国とよはし芸術劇場PLAT・駅南口駅前広場,0,34.763278,137.383222,見る,"若者世代を中心に盛り上がりを見せるポップカルチャーで豊橋まつりを盛り上げます！人気歌い手踊り手アイドルによるステージイベントも開催
http://toyohashi-popcul.com/",2019-10-19 11:00:00,2019-10-19 18:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915ea71d0a5.jpg
